index	CTD_id	UMLS_CUI	type	
1769	D011143	C0032624	chemical
1770	C046064	C0063038	chemical
1771	C052964	C0064036	chemical
1772	C082828	C0219405	chemical
1773	C505958	C1678810	chemical
1774	D002248	C0007018	chemical
1775	C521776	C1959111	chemical
1776	D013662	C0039400	chemical
1777	D000691	C0002743	chemical
1778	D007692	C0022683	chemical
1779	C011700	C0054692	chemical
1780	C551307	C2935749	chemical
1781	D000077300	C0252643	chemical
1782	D008777	C0025826	chemical
1783	C506425	C1686344	chemical
1784	D006108	C0302933	chemical
1785	C001968	C0063778	chemical
1786	C018230	C0053522	chemical
1787	C007180	C0603000	chemical
1788	C004711	C0057888	chemical
1789	C009967	C0133341	chemical
1790	D000779	C0002934	chemical
1791	C461399	C1138034	chemical
1792	C031618	C0074748	chemical
1793	D014260	C0040958	chemical
1794	C020918	C0064961	chemical
1795	D006256	C0018627	chemical
1796	C007741	C0060553	chemical
1797	C026733	C0048689	chemical
1798	C023384	C0060685	chemical
1799	C400084	C0909977	chemical
1800	C106876	C0540814	chemical
1801	D003493	C0010523	chemical
1802	C076070	C0171107	chemical
1803	D020113	C0600489	chemical
1804	C120275	C0769869	chemical
1805	D000875	C0003166	chemical
1806	C009680	C0078433	chemical
1807	C499814	C1568085	chemical
1808	C579558	C3659912	chemical
1809	C011812	C0059818	chemical
1810	C006826	C0054137	chemical
1811	C117408	C0763683	chemical
1812	C025351	C0057330	chemical
1813	D017273	C0120107	chemical
1814	D003224	C0009742	chemical
1815	D003533	C0010620	chemical
1816	C518913	C1871978	chemical
1817	C441720	C1099837	chemical
1818	D004052	C0012200	chemical
1819	C053514	C0055988	chemical
1820	D010130	C0030123	chemical
1821	C000595958	C3858051	chemical
1822	C050572	C0055986	chemical
1823	D012103	C0035158	chemical
1824	C496197	C1565557	chemical
1825	C029341	C0069795	chemical
1826	D003707	C0011276	chemical
1827	C054368	C0060696	chemical
1828	D048789	C0071011	chemical
1829	C561058	C3253276	chemical
1830	C038018	C0618620	chemical
1831	C085084	C0250369	chemical
1832	D008721	C0025659	chemical
1833	C004380	C0062036	chemical
1834	C096761	C0383878	chemical
1835	C431129	C0971713	chemical
1836	C030374	C0021236	chemical
1837	C059259	C0636809	chemical
1838	D004155	C0012522	chemical
1839	C018362	C0070715	chemical
1840	D017324	C0121300	chemical
1841	C009135	C0046544	chemical
1842	C114956	C0758504	chemical
1843	C087933	C0256172	chemical
1844	C057921	C0066645	chemical
1845	D016670	C0085231	chemical
1846	C029310	C0064658	chemical
1847	C030581	C0060937	chemical
1848	C513941	C1742872	chemical
1849	C099950	C0390643	chemical
1850	C058079	C0065781	chemical
1851	C001173	C0128915	chemical
1852	C121203	C0908756	chemical
1853	D007454	C0021966	chemical
1854	D062385	C0178698	chemical
1855	C017510	C0066370	chemical
1856	C051273	C0075111	chemical
1857	C025390	C0056478	chemical
1858	C027971	C0163562	chemical
1859	C021322	C0071840	chemical
1860	D047428	C1449702	chemical
1861	C017947	C0074719	chemical
1862	C037075	C0525788	chemical
1863	D017705	C0064971	chemical
1864	D008793	C0025869	chemical
1865	C106266	C0663645	chemical
1866	D013773	C0039692	chemical
1867	D002108	C0006639	chemical
1868	C061089	C0044515	chemical
1869	C049584	C0045811	chemical
1870	D004390	C0013328	chemical
1871	D013213	C0038179	chemical
1872	D004603	C0013880	chemical
1873	C024311	C0083653	chemical
1874	C073331	C0302584	chemical
1875	C026956	C0073221	chemical
1876	C090859	C0291812	chemical
1877	C060980	C0070795	chemical
1878	C533467	C2606501	chemical
1879	D001708	C0005562	chemical
1880	D000962	C0003374	chemical
1881	D046948	C1449663	chemical
1882	D012293	C0035608	chemical
1883	C095631	C0381496	chemical
1884	C026055	C0069766	chemical
1885	C505244	C1623336	chemical
1886	D019357	C0137996	chemical
1887	C546607	C2744911	chemical
1888	C063918	C0092148	chemical
1889	D006146	C0018320	chemical
1890	C543534	C2742801	chemical
1891	C492656	C1528164	chemical
1892	C025473	C0220914	chemical
1893	C451723	C1121671	chemical
1894	D006511	C0019165	chemical
1895	C433928	C0969232	chemical
1896	C030517	C0067087	chemical
1897	C404484	C0912254	chemical
1898	D013929	C0040059	chemical
1899	C018539	C0936106	chemical
1900	C036600	C0617606	chemical
1901	C101044	C0528985	chemical
1902	C019357	C0058330	chemical
1903	D013438	C0038734	chemical
1904	C006566	C0051694	chemical
1905	C027696	C0050558	chemical
1906	C064176	C0641176	chemical
1907	D019803	C0061516	chemical
1908	D002257	C0007036	chemical
1909	D012271	C0035554	chemical
1910	C077642	C0174199	chemical
1911	D019946	C0072225	chemical
1912	C529372	C2354282	chemical
1913	C527793	C2352621	chemical
1914	C031242	C0614088	chemical
1915	C545833	C2744112	chemical
1916	C028618	C0068003	chemical
1917	D000077185	C0073096	chemical
1918	D014236	C0040898	chemical
1919	C026418	C0048342	chemical
1920	C036619	C0123163	chemical
1921	D000077866	C0092777	chemical
1922	C022261	C0066697	chemical
1923	C500135	C1568612	chemical
1924	C521206	C1881440	chemical
1925	D013498	C0038880	chemical
1926	C019132	C0077413	chemical
1927	C569751	C3489973	chemical
1928	C508870	C1699231	chemical
1929	C096277	C0382876	chemical
1930	C027032	C0045260	chemical
1931	C004817	C0092920	chemical
1932	C539419	C3660913	chemical
1933	C012768	C0053151	chemical
1934	C097240	C0384907	chemical
1935	D015365	C0014310	chemical
1936	D013750	C0039637	chemical
1937	C548902	C2933442	chemical
1938	D008278	C0024480	chemical
1939	C556620	C3180163	chemical
1940	C069788	C0141364	chemical
1941	C011145	C0065432	chemical
1942	C516433	C0589329	chemical
1943	C052090	C0052082	chemical
1944	C100989	C2983930	chemical
1945	C035922	C0043678	chemical
1946	D013988	C0040207	chemical
1947	C031469	C0051905	chemical
1948	C523799	C2002940	chemical
1949	C061419	C0165525	chemical
1950	D008730	C0025684	chemical
1951	C048498	C0059506	chemical
1952	C010914	C0045479	chemical
1953	C053518	C0056447	chemical
1954	C085074	C0250348	chemical
1955	D004127	C0012429	chemical
1956	C095804	C0754207	chemical
1957	D000077734	C0753645	chemical
1958	C014037	C0043680	chemical
1959	C013606	C0066346	chemical
1960	D012631	C0036516	chemical
1961	D000068836	C0649350	chemical
1962	D000074	C0000956	chemical
1963	C434003	C1456406	chemical
1964	C087595	C0255475	chemical
1965	D011458	C0033559	chemical
1966	D017315	C0055723	chemical
1967	C005806	C0076234	chemical
1968	C048763	C0067834	chemical
1969	C043565	C0075456	chemical
1970	D006923	C0020411	chemical
1971	C056165	C0050465	chemical
1972	C528313	C2353153	chemical
1973	D013745	C0305062	chemical
1974	D002439	C0007554	chemical
1975	D003486	C0010505	chemical
1976	C003371	C0075667	chemical
1977	C022870	C0062699	chemical
1978	D013566	C0039052	chemical
1979	D000069479	C1169989	chemical
1980	C016872	C0059065	chemical
1981	C045971	C0077765	chemical
1982	C570018	C3490192	chemical
1983	C008105	C0063366	chemical
1984	C005216	C0072227	chemical
1985	C025614	C0074343	chemical
1986	C034096	C0059729	chemical
1987	D014701	C0042525	chemical
1988	C034870	C0045857	chemical
1989	C416123	C0962133	chemical
1990	D006246	C0018602	chemical
1991	D009530	C0028008	chemical
1992	C102088	C0531139	chemical
1993	C026019	C0003384	chemical
1994	C026189	C0054436	chemical
1995	D000396	C0001872	chemical
1996	D008712	C0025643	chemical
1997	C466420	C1144024	chemical
1998	D000616	C0002555	chemical
1999	C480541	C1433708	chemical
2000	C041914	C0064805	chemical
2001	D013095	C0037871	chemical
2002	C014085	C0066146	chemical
2003	D026423	C0073894	chemical
2004	C031390	C0050210	chemical
2005	C000611646	C4309505	chemical
2006	C084605	C0012030	chemical
2007	D004987	C0014996	chemical
2008	C002773	C0058291	chemical
2009	C019468	C0065989	chemical
2010	C016543	C0065356	chemical
2011	C514771	C1710272	chemical
2012	C000594496	C3884833	chemical
2013	C009785	C0048668	chemical
2014	C100250	C0068737	chemical
2015	C501413	C1570259	chemical
2016	C039166	C0047469	chemical
2017	C504422	C1610514	chemical
2018	C556460	C3180085	chemical
2019	C007982	C0054155	chemical
2020	D006140	C0018305	chemical
2021	D000069454	C1435444	chemical
2022	C005873	C0077377	chemical
2023	D007204	C0021223	chemical
2024	C071160	C0648135	chemical
2025	C001079	C0091961	chemical
2026	D016314	C0079314	chemical
2027	D006533	C0019219	chemical
2028	D008776	C0025819	chemical
2029	D008937	C0026254	chemical
2030	D000077682	C0077071	chemical
2031	C050224	C0164574	chemical
2032	C504928	C1620239	chemical
2033	C013173	C0069678	chemical
2034	D000069445	C1170741	chemical
2035	C006014	C1812577	chemical
2036	C061532	C0058038	chemical
2037	C043237	C0064378	chemical
2038	C080122	C0214185	chemical
2039	C060768	C0065541	chemical
2040	C104288	C0535640	chemical
2041	D002712	C0008203	chemical
2042	D014150	C0040615	chemical
2043	C007864	C0061507	chemical
2044	C056892	C0045552	chemical
2045	D002261	C0007053	chemical
2046	C059510	C0060791	chemical
2047	D007051	C0020738	chemical
2048	C077458	C0527346	chemical
2049	D000086	C0000981	chemical
2050	C035971	C0077618	chemical
2051	C048980	C0051034	chemical
2052	D000077607	C0538727	chemical
2053	D007531	C0022181	chemical
2054	C119032	C0767150	chemical
2055	D009582	C0028156	chemical
2056	C104872	C0536785	chemical
2057	C010158	C0069619	chemical
2058	C501843	C1570707	chemical
2059	C072959	C0087803	chemical
2060	C119642	C0768503	chemical
2061	C503142	C1611954	chemical
2062	C019304	C0055775	chemical
2063	C055778	C0070002	chemical
2064	D010646	C0031448	chemical
2065	C549232	C2933784	chemical
2066	C029943	C0071767	chemical
2067	D014580	C0042105	chemical
2068	D014873	C0043053	chemical
2069	D017984	C0206460	chemical
2070	C098657	C0387955	chemical
2071	D008903	C0026162	chemical
2072	D009655	C0028403	chemical
2073	C032904	C0377470	chemical
2074	C074469	C0167973	chemical
2075	C094089	C0298592	chemical
2076	C030984	C0072667	chemical
2077	C532601	C2606639	chemical
2078	C119422	C0768031	chemical
2079	C012258	C0056170	chemical
2080	C529428	C2354341	chemical
2081	C067527	C0081548	chemical
2082	C052555	C0075007	chemical
2083	C093628	C0297641	chemical
2084	C420364	C0964224	chemical
2085	D013852	C0039871	chemical
2086	C014553	C0066789	chemical
2087	C051827	C0074107	chemical
2088	C046428	C0078402	chemical
2089	D010830	C0031849	chemical
2090	C541824	C2716887	chemical
2091	C530478	C2355492	chemical
2092	D013839	C0039854	chemical
2093	C084837	C0249905	chemical
2094	C480026	C1433177	chemical
2095	C059141	C0165283	chemical
2096	D007547	C0022251	chemical
2097	C034534	C0047069	chemical
2098	D005505	C0016461	chemical
2099	C491509	C1504904	chemical
2100	C477185	C1311520	chemical
2101	C061676	C0069601	chemical
2102	C019273	C0045287	chemical
2103	C519846	C1957122	chemical
2104	C041509	C0060517	chemical
2105	C044660	C0065302	chemical
2106	C526438	C2351269	chemical
2107	C048349	C0065815	chemical
2108	C559815	C2703183	chemical
2109	C026708	C0046518	chemical
2110	D000929	C0003290	chemical
2111	C013478	C0049973	chemical
2112	D018723	C0053526	chemical
2113	C014055	C0066254	chemical
2114	C104875	C0536789	chemical
2115	D004004	C0012084	chemical
2116	D014560	C0042054	chemical
2117	D020442	C0600615	chemical
2118	C012085	C0077281	chemical
2119	D004879	C0014711	chemical
2120	D015060	C0000039	chemical
2121	C119379	C1541677	chemical
2122	C587251	C2347556	chemical
2123	C416442	C0962286	chemical
2124	C431073	C0971712	chemical
2125	C012587	C0047013	chemical
2126	C018465	C0053618	chemical
2127	D012172	C0035331	chemical
2128	D014282	C0041009	chemical
2129	D002110	C0006644	chemical
2130	D043343	C0039607	chemical
2131	C491685	C1504945	chemical
2132	C502994	C1611934	chemical
2133	D007555	C0022266	chemical
2134	C488234	C1454874	chemical
2135	D000266	C0001506	chemical
2136	C060368	C0209213	chemical
2137	C444205	C1100695	chemical
2138	D009641	C0028360	chemical
2139	C400939	C0910385	chemical
2140	D002934	C0008801	chemical
2141	C027837	C0066546	chemical
2142	C061481	C0057784	chemical
2143	C011088	C0072157	chemical
2144	C528479	C2353339	chemical
2145	C528662	C2353542	chemical
2146	D001463	C0004745	chemical
2147	C048629	C0075334	chemical
2148	C445259	C1101016	chemical
2149	D014287	C0041023	chemical
2150	C060209	C0057358	chemical
2151	C483462	C1436963	chemical
2152	D000077335	C0063252	chemical
2153	C058394	C0046005	chemical
2154	D007975	C0023546	chemical
2155	C109487	C0668779	chemical
2156	C424388	C0965615	chemical
2157	D013148	C0037982	chemical
2158	D024505	C3255108	chemical
2159	C062765	C0165590	chemical
2160	D000069286	C1176309	chemical
2161	C446402	C1120099	chemical
2162	C066902	C0084141	chemical
2163	D004114	C0012386	chemical
2164	D010853	C0031891	chemical
2165	C423915	C0965514	chemical
2166	D001639	C0005367	chemical
2167	D014748	C0042672	chemical
2168	C113145	C0676811	chemical
2169	C106538	C0663655	chemical
2170	D013418	C0038686	chemical
2171	C506365	C0010566	chemical
2172	C035276	C0058978	chemical
2173	C100036	C0073083	chemical
2174	D006418	C0018966	chemical
2175	D015101	C0000370	chemical
2176	D014331	C0041190	chemical
2177	C448659	C1527262	chemical
2178	C043857	C0208102	chemical
2179	C012273	C0057539	chemical
2180	C110661	C0671450	chemical
2181	C078007	C0174938	chemical
2182	D049993	C1563711	chemical
2183	C100285	C0066116	chemical
2184	C006084	C0065424	chemical
2185	C500344	C1568887	chemical
2186	C014363	C0053696	chemical
2187	C098725	C0388098	chemical
2188	C030856	C0070222	chemical
2189	D000078305	C0078844	chemical
2190	C029063	C0060771	chemical
2191	D005013	C0015043	chemical
2192	C044563	C0208133	chemical
2193	D004875	C0014705	chemical
2194	D007556	C0022267	chemical
2195	D003471	C0010460	chemical
2196	C027513	C0067223	chemical
2197	D014043	C0040373	chemical
2198	D008520	C0025132	chemical
2199	C554850	C2976656	chemical
2200	C550613	C2935147	chemical
2201	C518829	C1872922	chemical
2202	C036871	C0066086	chemical
2203	D007052	C0020740	chemical
2204	C001042	C0045136	chemical
2205	C056595	C0075753	chemical
2206	D010657	C0031476	chemical
2207	D008152	C0024056	chemical
2208	C012037	C0074798	chemical
2209	D004087	C0012291	chemical
2210	C527855	C2352694	chemical
2211	D037742	C1138408	chemical
2212	D009644	C0028368	chemical
2213	C035965	C0064880	chemical
2214	C049819	C0055211	chemical
2215	C042162	C0047171	chemical
2216	D013735	C0039586	chemical
2217	D000077409	C0257343	chemical
2218	D045162	C1257987	chemical
2219	C007133	C0056387	chemical
2220	C045597	C0074585	chemical
2221	C550711	C2935233	chemical
2222	C063170	C0772125	chemical
2223	C482378	C1435536	chemical
2224	C104564	C0536175	chemical
2225	C516022	C1873341	chemical
2226	C000600499	C4042999	chemical
2227	D007099	C0020934	chemical
2228	C041259	C0114368	chemical
2229	C018584	C0064997	chemical
2230	C442100	C1101789	chemical
2231	D000077613	C0972314	chemical
2232	C075674	C0170337	chemical
2233	D011405	C0033429	chemical
2234	C111221	C0672672	chemical
2235	D005040	C0015117	chemical
2236	D005664	C0016855	chemical
2237	D013024	C0037732	chemical
2238	C016104	C0074724	chemical
2239	C065351	C0080383	chemical
2240	C011251	C0060215	chemical
2241	D000074242	C0075639	chemical
2242	C068820	C0148842	chemical
2243	D013754	C0039651	chemical
2244	C106014	C0539095	chemical
2245	D010303	C0030576	chemical
2246	D004092	C0012311	chemical
2247	D002997	C0009010	chemical
2248	C064595	C0081500	chemical
2249	D013427	C0038710	chemical
2250	C092625	C0295556	chemical
2251	C072790	C0093299	chemical
2252	C583451	C3712459	chemical
2253	C033607	C0072591	chemical
2254	C013769	C0140594	chemical
2255	D002129	C0006706	chemical
2256	D014634	C0042287	chemical
2257	C057348	C0046478	chemical
2258	C062047	C0055282	chemical
2259	D000244	C0001459	chemical
2260	D001960	C0006213	chemical
2261	C456740	C1136821	chemical
2262	D002034	C0006376	chemical
2263	C094835	C0300167	chemical
2264	C024307	C0054196	chemical
2265	C000599186	C4043594	chemical
2266	C034159	C0050612	chemical
2267	C072105	C0124673	chemical
2268	D014117	C0040545	chemical
2269	C011246	C0059598	chemical
2270	C530605	C2604147	chemical
2271	D005996	C0017887	chemical
2272	C011499	C0065973	chemical
2273	C082366	C0660270	chemical
2274	C017781	C0607624	chemical
2275	C015202	C0059841	chemical
2276	C001387	C0058763	chemical
2277	D017997	C0023542	chemical
2278	D010114	C0030080	chemical
2279	C034939	C0054417	chemical
2280	C486464	C1876229	chemical
2281	C044433	C3714527	chemical
2282	C006296	C0077653	chemical
2283	C062843	C0054721	chemical
2284	C092099	C0294413	chemical
2285	C024523	C0104221	chemical
2286	C058702	C0053185	chemical
2287	D014272	C0040988	chemical
2288	C499823	C1568094	chemical
2289	C121755	C0909461	chemical
2290	C053091	C0065162	chemical
2291	C480354	C1433528	chemical
2292	C051171	C0098525	chemical
2293	C092761	C0295856	chemical
2294	C105488	C0538030	chemical
2295	D003033	C0009137	chemical
2296	C035739	C0072847	chemical
2297	D000077443	C0284941	chemical
2298	C063833	C0081303	chemical
2299	C029899	C0020923	chemical
2300	D009761	C0028741	chemical
2301	D052246	C1257954	chemical
2302	C413879	C0961045	chemical
2303	C470324	C1173470	chemical
2304	D010628	C0031403	chemical
2305	C020766	C0243666	chemical
2306	C043425	C0164200	chemical
2307	C018673	C0043762	chemical
2308	C019499	C0046439	chemical
2309	D003894	C0011701	chemical
2310	D015058	C0000103	chemical
2311	D024504	C0017054	chemical
2312	C041226	C0076107	chemical
2313	C027061	C0064039	chemical
2314	C035956	C0066223	chemical
2315	D002229	C0006979	chemical
2316	C114163	C0756822	chemical
2317	C503643	C1611471	chemical
2318	C029795	C0058400	chemical
2319	C026211	C0060819	chemical
2320	D015772	C0949477	chemical
2321	C018541	C0060050	chemical
2322	C509503	C1701751	chemical
2323	D001384	C0004490	chemical
2324	C046357	C0070702	chemical
2325	C108318	C0666143	chemical
2326	C009374	C0075762	chemical
2327	C497332	C1566496	chemical
2328	C019359	C0045546	chemical
2329	C032159	C0050456	chemical
2330	C029424	C0020231	chemical
2331	C027563	C0611828	chemical
2332	C518299	C1872880	chemical
2333	C071482	C0108192	chemical
2334	D008234	C0024321	chemical
2335	C547349	C2932093	chemical
2336	C101816	C0530570	chemical
2337	C081906	C0217623	chemical
2338	C027493	C0057269	chemical
2339	C027113	C0055666	chemical
2340	C018038	C0057598	chemical
2341	C008692	C0069113	chemical
2342	C003237	C0072511	chemical
2343	C027667	C0045894	chemical
2344	C035476	C0616779	chemical
2345	C578989	C3657824	chemical
2346	C034482	C0054889	chemical
2347	C073718	C0650644	chemical
2348	C455861	C1136535	chemical
2349	C033999	C0049334	chemical
2350	C081293	C0216379	chemical
2351	C109763	C0669398	chemical
2352	C054474	C0065712	chemical
2353	C576297	C0068660	chemical
2354	C017953	C0076305	chemical
2355	C066169	C0102736	chemical
2356	D016293	C0079856	chemical
2357	D007295	C0021554	chemical
2358	D009553	C0028094	chemical
2359	C583883	C3711077	chemical
2360	C098026	C0386586	chemical
2361	C017985	C0072076	chemical
2362	C069156	C0646101	chemical
2363	C004808	C0060069	chemical
2364	C117155	C0763138	chemical
2365	D018686	C0242904	chemical
2366	C462499	C1138259	chemical
2367	C018847	C0053251	chemical
2368	C010034	C0052431	chemical
2369	D000922	C0021084	chemical
2370	C004280	C0076456	chemical
2371	C079415	C0212863	chemical
2372	C036491	C0617548	chemical
2373	C035736	C0061506	chemical
2374	C019498	C0048553	chemical
2375	C051918	C0208554	chemical
2376	C027299	C0063159	chemical
2377	C054207	C0059872	chemical
2378	D016642	C0085208	chemical
2379	C433466	C2827256	chemical
2380	C030592	C0047589	chemical
2381	C003915	C0058282	chemical
2382	D002186	C0006864	chemical
2383	C090882	C0291864	chemical
2384	C062865	C0045376	chemical
2385	C490527	C1506687	chemical
2386	C501365	C0304108	chemical
2387	C007469	C0046918	chemical
2388	C513163	C1743565	chemical
2389	C074190	C1610779	chemical
2390	C443758	C1100587	chemical
2391	D004464	C0013547	chemical
2392	C021597	C0139500	chemical
2393	C015952	C0048408	chemical
2394	D047311	C0065264	chemical
2395	C476718	C1311122	chemical
2396	C108475	C1101838	chemical
2397	C572498	C3492512	chemical
2398	C118559	C0443370	chemical
2399	C066668	C2930490	chemical
2400	D009025	C0026561	chemical
2401	D013882	C0039946	chemical
2402	D000068898	C1966407	chemical
2403	C034177	C0071130	chemical
2404	C431585	C0968099	chemical
2405	D010042	C0029904	chemical
2406	C064787	C0641843	chemical
2407	C040872	C0244554	chemical
2408	D012971	C0037512	chemical
2409	C556168	C3179822	chemical
2410	C017245	C0048886	chemical
2411	C508178	C1700454	chemical
2412	C572384	C3492388	chemical
2413	C008846	C0070601	chemical
2414	C406343	C0913356	chemical
2415	C080157	C0657799	chemical
2416	C037225	C0163908	chemical
2417	C005066	C0053956	chemical
2418	D008787	C0025853	chemical
2419	D011223	C0032911	chemical
2420	C100416	C0391001	chemical
2421	C001801	C0066619	chemical
2422	C018406	C0044180	chemical
2423	D014501	C0041928	chemical
2424	D028321	C0949854	chemical
2425	C561056	C3253273	chemical
2426	D005997	C0017889	chemical
2427	C000499	C0060240	chemical
2428	C024534	C0078381	chemical
2429	C014215	C0076278	chemical
2430	C099445	C0389573	chemical
2431	C041635	C0051336	chemical
2432	C473206	C1175797	chemical
2433	C035996	C0057212	chemical
2434	D015110	C0000506	chemical
2435	C409722	C0915040	chemical
2436	D015570	C0022419	chemical
2437	C028889	C0066808	chemical
2438	C111788	C0673891	chemical
2439	D013982	C0040193	chemical
2440	C550911	C2935436	chemical
2441	C031103	C0056527	chemical
2442	D004329	C0013136	chemical
2443	C028617	C0052390	chemical
2444	C075156	C0169307	chemical
2445	C013622	C0068862	chemical
2446	D003280	C0009909	chemical
2447	C044613	C0623690	chemical
2448	C000623021	C4548932	chemical
2449	C019427	C0046747	chemical
2450	D000657	C0002644	chemical
2451	D010402	C0030830	chemical
2452	C062969	C2930487	chemical
2453	D005481	C0016380	chemical
2454	D000983	C0003420	chemical
2455	C475761	C1259756	chemical
2456	C051098	C0069561	chemical
2457	C051070	C0164646	chemical
2458	C000603501	C4079599	chemical
2459	C579439	C3659979	chemical
2460	C561228	C3254369	chemical
2461	D022223	C0887892	chemical
2462	C102747	C0532436	chemical
2463	C025463	C0075616	chemical
2464	C021988	C0057258	chemical
2465	C031649	C0127649	chemical
2466	D006727	C0019927	chemical
2467	C026016	C0055339	chemical
2468	D011814	C0034441	chemical
2469	C002615	C0053201	chemical
2470	D014148	C0040613	chemical
2471	C429533	C0967207	chemical
2472	D003622	C0010980	chemical
2473	C029790	C0613080	chemical
2474	D019810	C0074721	chemical
2475	C000597094	C4044534	chemical
2476	C109079	C0717762	chemical
2477	C005832	C0076516	chemical
2478	C011669	C0052473	chemical
2479	C040102	C0067359	chemical
2480	C017160	C0056849	chemical
2481	C100288	C0069353	chemical
2482	C511295	C1722788	chemical
2483	C027804	C0045502	chemical
2484	C514044	C2002307	chemical
2485	C008261	C0064711	chemical
2486	C407311	C0913884	chemical
2487	C575255	C2987670	chemical
2488	C470045	C1173228	chemical
2489	C107601	C0664589	chemical
2490	C532363	C2605963	chemical
2491	C465548	C1143582	chemical
2492	C085266	C0250723	chemical
2493	C054518	C0075073	chemical
2494	D000077592	C1667052	chemical
2495	D006834	C0020233	chemical
2496	D003892	C0011689	chemical
2497	C507313	C1679393	chemical
2498	C024885	C0051840	chemical
2499	C065581	C0209499	chemical
2500	C064116	C0084433	chemical
2501	D013629	C0039286	chemical
2502	D008701	C0025625	chemical
2503	D010131	C0030125	chemical
2504	D010984	C0032207	chemical
2505	C000602001	C4078964	chemical
2506	C485382	C1451545	chemical
2507	D014574	C0042081	chemical
2508	D017942	C0068808	chemical
2509	D005565	C0016581	chemical
2510	C000977	C0058101	chemical
2511	C021280	C0608826	chemical
2512	D004308	C0013065	chemical
2513	C012776	C0053669	chemical
2514	D000269	C0001516	chemical
2515	C015019	C0059364	chemical
2516	C496401	C1565755	chemical
2517	C084321	C0662510	chemical
2518	D008688	C0025599	chemical
2519	C456319	C1136689	chemical
2520	C477659	C1311934	chemical
2521	C021342	C0128225	chemical
2522	C496199	C1565559	chemical
2523	C032285	C0074742	chemical
2524	D008191	C0024192	chemical
2525	D019324	C0053490	chemical
2526	C085746	C0251673	chemical
2527	D001372	C0004471	chemical
2528	C512195	C2608060	chemical
2529	C032688	C0006020	chemical
2530	D011722	C0034245	chemical
2531	D013096	C0037874	chemical
2532	C071168	C0147002	chemical
2533	D054715	C1956032	chemical
2534	C039332	C0066545	chemical
2535	C018855	C0046563	chemical
2536	C416723	C0962422	chemical
2537	C011523	C0069588	chemical
2538	D007501	C0302583	chemical
2539	D039741	C1136325	chemical
2540	C015423	C0070320	chemical
2541	C575652	C3502639	chemical
2542	C010182	C0062606	chemical
2543	D017998	C0023544	chemical
2544	D013974	C0040165	chemical
2545	C499715	C1567950	chemical
2546	D002164	C0006809	chemical
2547	C014926	C0053985	chemical
2548	D002049	C0006408	chemical
2549	D010885	C0031965	chemical
2550	C541917	C2716958	chemical
2551	C431074	C0967850	chemical
2552	C040015	C0067067	chemical
2553	C053571	C0063815	chemical
2554	C022186	C0243746	chemical
2555	C071369	C0526956	chemical
2556	D005278	C0015832	chemical
2557	C011907	C0065896	chemical
2558	C111212	C0672656	chemical
2559	D020110	C0071074	chemical
2560	C003637	C0077030	chemical
2561	D000561	C0002436	chemical
2562	C502528	C1609113	chemical
2563	D064586	C0074279	chemical
2564	C104935	C0536914	chemical
2565	C102880	C0532715	chemical
2566	D006535	C0019223	chemical
2567	D015237	C0012471	chemical
2568	C042254	C0073783	chemical
2569	D012835	C0037129	chemical
2570	C045495	C0071715	chemical
2571	C532162	C2606670	chemical
2572	C056218	C0066653	chemical
2573	D015767	C0025153	chemical
2574	C495469	C1564920	chemical
2575	D020748	C0286185	chemical
2576	C103788	C0534605	chemical
2577	D000255	C0001480	chemical
2578	C064848	C0641910	chemical
2579	D003975	C0012010	chemical
2580	D004726	C0014252	chemical
2581	C056497	C0049249	chemical
2582	D008063	C0023791	chemical
2583	D001086	C0003679	chemical
2584	D009544	C0028067	chemical
2585	C100089	C0056728	chemical
2586	C069318	C0347992	chemical
2587	C031492	C0054616	chemical
2588	C084079	C0662253	chemical
2589	C088674	C0257716	chemical
2590	C012891	C0057835	chemical
2591	D005663	C0016850	chemical
2592	C063587	C0083104	chemical
2593	C410216	C0915342	chemical
2594	C496111	C1565473	chemical
2595	C064297	C0081119	chemical
2596	C412383	C0916702	chemical
2597	C078041	C0527405	chemical
2598	C038044	C0052929	chemical
2599	D008130	C0023972	chemical
2600	C000589286	C3849781	chemical
2601	C502015	C1570913	chemical
2602	C009941	C0071785	chemical
2603	D011411	C0033440	chemical
2604	D009540	C0028053	chemical
2605	C066026	C4307876	chemical
2606	C546706	C2744961	chemical
2607	C523668	C3885072	chemical
2608	C067197	C0081369	chemical
2609	D019804	C0127615	chemical
2610	C525538	C2003301	chemical
2611	D017830	C0069359	chemical
2612	C001388	C0049608	chemical
2613	C035983	C0058207	chemical
2614	C002886	C0053014	chemical
2615	C024603	C0061222	chemical
2616	C069013	C0131245	chemical
2617	C000594493	C3884836	chemical
2618	D014228	C0040878	chemical
2619	C118706	C0766409	chemical
2620	C087257	C0254777	chemical
2621	C572491	C3492501	chemical
2622	D007050	C0020737	chemical
2623	D009020	C0026549	chemical
2624	C012466	C0069706	chemical
2625	D010117	C0030086	chemical
2626	C046888	C0006474	chemical
2627	C038954	C0049952	chemical
2628	C531349	C2603980	chemical
2629	C018421	C0073372	chemical
2630	C040756	C0043863	chemical
2631	C095764	C0381801	chemical
2632	C053759	C0059508	chemical
2633	D019438	C0292818	chemical
2634	D001728	C0005640	chemical
2635	C548830	C2933385	chemical
2636	D000077486	C1999375	chemical
2637	C006578	C0051839	chemical
2638	D011398	C0033405	chemical
2639	D000069474	C2976303	chemical
